value	len	code
0	8	00110000
1	8	00110001
2	8	00110010
3	8	00110011
4	8	00110100
5	8	00110101
6	8	00110110
7	8	00110111
8	8	00111000
9	8	00111001
10	8	00111010
11	8	00111011
12	8	00111100
13	8	00111101
14	8	00111110
15	8	00111111
16	8	01000000
17	8	01000001
18	8	01000010
19	8	01000011
20	8	01000100
21	8	01000101
22	8	01000110
23	8	01000111
24	8	01001000
25	8	01001001
26	8	01001010
27	8	01001011
28	8	01001100
29	8	01001101
30	8	01001110
31	8	01001111
32	8	01010000
33	8	01010001
34	8	01010010
35	8	01010011
36	8	01010100
37	8	01010101
38	8	01010110
39	8	01010111
40	8	01011000
41	8	01011001
42	8	01011010
43	8	01011011
44	8	01011100
45	8	01011101
46	8	01011110
47	8	01011111
48	8	01100000
49	8	01100001
50	8	01100010
51	8	01100011
52	8	01100100
53	8	01100101
54	8	01100110
55	8	01100111
56	8	01101000
57	8	01101001
58	8	01101010
59	8	01101011
60	8	01101100
61	8	01101101
62	8	01101110
63	8	01101111
64	8	01110000
65	8	01110001
66	8	01110010
67	8	01110011
68	8	01110100
69	8	01110101
70	8	01110110
71	8	01110111
72	8	01111000
73	8	01111001
74	8	01111010
75	8	01111011
76	8	01111100
77	8	01111101
78	8	01111110
79	8	01111111
80	8	10000000
81	8	10000001
82	8	10000010
83	8	10000011
84	8	10000100
85	8	10000101
86	8	10000110
87	8	10000111
88	8	10001000
89	8	10001001
90	8	10001010
91	8	10001011
92	8	10001100
93	8	10001101
94	8	10001110
95	8	10001111
96	8	10010000
97	8	10010001
98	8	10010010
99	8	10010011
100	8	10010100
101	8	10010101
102	8	10010110
103	8	10010111
104	8	10011000
105	8	10011001
106	8	10011010
107	8	10011011
108	8	10011100
109	8	10011101
110	8	10011110
111	8	10011111
112	8	10100000
113	8	10100001
114	8	10100010
115	8	10100011
116	8	10100100
117	8	10100101
118	8	10100110
119	8	10100111
120	8	10101000
121	8	10101001
122	8	10101010
123	8	10101011
124	8	10101100
125	8	10101101
126	8	10101110
127	8	10101111
128	8	10110000
129	8	10110001
130	8	10110010
131	8	10110011
132	8	10110100
133	8	10110101
134	8	10110110
135	8	10110111
136	8	10111000
137	8	10111001
138	8	10111010
139	8	10111011
140	8	10111100
141	8	10111101
142	8	10111110
143	8	10111111
144	9	110010000
145	9	110010001
146	9	110010010
147	9	110010011
148	9	110010100
149	9	110010101
150	9	110010110
151	9	110010111
152	9	110011000
153	9	110011001
154	9	110011010
155	9	110011011
156	9	110011100
157	9	110011101
158	9	110011110
159	9	110011111
160	9	110100000
161	9	110100001
162	9	110100010
163	9	110100011
164	9	110100100
165	9	110100101
166	9	110100110
167	9	110100111
168	9	110101000
169	9	110101001
170	9	110101010
171	9	110101011
172	9	110101100
173	9	110101101
174	9	110101110
175	9	110101111
176	9	110110000
177	9	110110001
178	9	110110010
179	9	110110011
180	9	110110100
181	9	110110101
182	9	110110110
183	9	110110111
184	9	110111000
185	9	110111001
186	9	110111010
187	9	110111011
188	9	110111100
189	9	110111101
190	9	110111110
191	9	110111111
192	9	111000000
193	9	111000001
194	9	111000010
195	9	111000011
196	9	111000100
197	9	111000101
198	9	111000110
199	9	111000111
200	9	111001000
201	9	111001001
202	9	111001010
203	9	111001011
204	9	111001100
205	9	111001101
206	9	111001110
207	9	111001111
208	9	111010000
209	9	111010001
210	9	111010010
211	9	111010011
212	9	111010100
213	9	111010101
214	9	111010110
215	9	111010111
216	9	111011000
217	9	111011001
218	9	111011010
219	9	111011011
220	9	111011100
221	9	111011101
222	9	111011110
223	9	111011111
224	9	111100000
225	9	111100001
226	9	111100010
227	9	111100011
228	9	111100100
229	9	111100101
230	9	111100110
231	9	111100111
232	9	111101000
233	9	111101001
234	9	111101010
235	9	111101011
236	9	111101100
237	9	111101101
238	9	111101110
239	9	111101111
240	9	111110000
241	9	111110001
242	9	111110010
243	9	111110011
244	9	111110100
245	9	111110101
246	9	111110110
247	9	111110111
248	9	111111000
249	9	111111001
250	9	111111010
251	9	111111011
252	9	111111100
253	9	111111101
254	9	111111110
255	9	111111111
256	7	0000000
257	7	0000001
258	7	0000010
259	7	0000011
260	7	0000100
261	7	0000101
262	7	0000110
263	7	0000111
264	7	0001000
265	7	0001001
266	7	0001010
267	7	0001011
268	7	0001100
269	7	0001101
270	7	0001110
271	7	0001111
272	7	0010000
273	7	0010001
274	7	0010010
275	7	0010011
276	7	0010100
277	7	0010101
278	7	0010110
279	7	0010111
280	8	11000000
281	8	11000001
282	8	11000010
283	8	11000011
284	8	11000100
285	8	11000101
286	8	11000110
287	8	11000111
